log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_individuales_fallidos_0808.log,black_gloves,P2,on,400,128,1,72,272,127,88,17,17,OK
run_individuales_fallidos_0808.log,adidas_shin_guard,P2,on,400,132,2,93,268,96,47,12,12,PLACE-FAIL
run_individuales_fallidos_0808.log,gelatin_box,P2,off,400,,,,,,,,,OK
run_jaw_body.log,wireless_mouse,P1,off,400,,,,,,,,,PLACE-FAIL
run_jaw_body.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_jaw_body.log,black_gloves,P1,on,400,106,0,47,294,102,76,31,31,OK
run_jaw_body.log,black_gloves,P2,on,400,154,0,81,246,152,120,56,56,OK
run_jaw_neceser.log,neceser_versace,P1,on,400,362,2,177,38,353,318,275,275,OK
run_jaw_neceser.log,neceser_versace,P2,on,400,228,1,106,172,222,198,128,128,OK
run_jaw_neceser.log,neceser_versace,P3,on,400,374,0,167,26,322,288,236,236,OK
run_jaw_neceser.log,neceser_versace,P4,on,400,336,8,147,64,324,275,250,250,OK
run_margen4mm.log,black_gloves,P1,off,400,,,,,69,30,3,3,PLACE-FAIL
run_material_boca.log,brown_gloves,P1,on,400,48,2,25,352,47,19,1,1,PICK-FAIL
run_material_boca.log,brown_gloves,P2,on,400,28,0,10,372,25,10,1,1,PICK-FAIL
run_material_boca.log,brown_gloves,P3,on,400,2,0,1,398,92,2,,0,PICK-FAIL
run_material_boca.log,brown_gloves,P4,on,400,3,0,1,397,75,0,,0,PICK-FAIL
run_material_ok.log,brown_gloves,P1,on,400,35,0,23,365,35,8,1,0,PICK-FAIL
run_material_ok.log,brown_gloves,P2,on,400,33,0,8,367,31,10,,0,PLACE-FAIL
run_material_ok.log,brown_gloves,P3,on,400,1,0,1,399,,0,,1,PICK-FAIL
run_material_ok.log,brown_gloves,P4,off,400,,,,,81,0,,,PICK-FAIL
run_material_score.log,brown_gloves,P1,on,400,38,1,22,362,35,10,2,0,PICK-FAIL
run_material_score.log,brown_gloves,P2,on,400,27,0,9,373,23,10,,0,PLACE-FAIL
run_material_score.log,brown_gloves,P3,on,400,86,8,35,314,85,41,4,0,PLACE-FAIL
run_material_score.log,brown_gloves,P4,on,400,40,0,17,360,37,11,1,0,PLACE-FAIL
run_medir_regen.log,wireless_mouse,P3,on,400,354,1,186,46,341,312,216,216,OK
run_medir_regen.log,wireless_mouse,P4,on,400,373,21,175,27,322,302,189,189,OK
run_medir_regen.log,power_drill,P3,on,400,310,1,145,90,274,246,139,139,PLACE-FAIL
run_medir_regen.log,power_drill,P4,on,400,300,3,160,100,289,146,83,83,OK
run_nube_malla.log,black_gloves,P1,off,400,,,,,84,5,1,1,PLACE-FAIL
run_nube_malla.log,black_gloves,P2,off,400,,,,,68,7,3,0,OK
run_nube_malla.log,black_gloves,P3,off,400,,,,,69,13,6,6,OK
run_nube_malla.log,black_gloves,P4,off,400,,,,,62,8,2,2,OK
run_nube_sin_caja.log,black_gloves,P1,off,400,,,,,64,8,2,2,PLACE-FAIL
run_nube_sin_caja.log,black_gloves,P2,off,400,,,,,65,3,2,2,PICK-FAIL
run_nube_sin_caja.log,black_gloves,P3,off,400,,,,,64,31,18,18,PICK-FAIL
